final_diseases,,,,,
Country,Measles,Covid-19,Cholera,,
Afghanistan,5166.0,5796.4683,165629,,
Albania,1,119251.03,0,,
Algeria,47,5985.59,0,,
Andorra,0,602280.44,0,,
Angola,3271,3016.3298,0,,
Antigua and Barbuda,0,98071.1,0,,
Argentina,2,222665.2,0,,
Armenia,0,157609.66,0,,
Australia,7,452699.0,0,,
Austria,1,671071.3,0,,
Azerbaijan,1,81250.42,0,,
Bahamas,0,98421.81,0,,
Bahrain,18,454276.25,0,,
Bangladesh,311,12111.735,376,,
Barbados,0,385503.88,0,,
Belarus,0,108363.555,0,,
Belgium,8,420272.6,0,,
Belize,0,177359.64,0,,
Benin,455,2037.573,0,,
Bhutan,7,80286.07,0,,
Bolivia (Plurinational State of),0,0.0,0,,
Bosnia and Herzegovina,6,126105.02,0,,
Botswana,1,135538.2,0,,
Brazil,41,178367.94,0,,
Brunei Darussalam,0,0.0,0,,
Bulgaria,1,196053.31,0,,
Burkina Faso,252,984.80444,0,,
Burundi,212,4096.433,835,,
Cote d'Ivoire,1596,2910.314,0,,
Cabo Verde,8,0.0,0,,
Cambodia,13,8099.5405,0,,
Cameroon,3217,4533.711,81,,
Canada,3,124134.43,0,,
Central African Republic,155,3029.2046,0,,
Chad,2158,417.33228,0,,
Chile,0,276681.66,0,,
China,552,69732.67,0,,
Colombia,0,123597.914,0,,
Comoros,4,10919.549,10549,,
Congo,6718,4181.2017,0,,
Cook Islands,,500101.72,0,,
Costa Rica,0,243193.84,0,,
Croatia,0,346541.66,0,,
Cuba,0,100694.4,0,,
Cyprus,0,756699.44,0,,
Czechia,0,452150.03,0,,
Democratic People's Republic of Korea,0,0.0,0,,
Democratic Republic of the Congo,4380,0.0,28804,,
Denmark,0,583715.3,0,,
Djibouti,206,13798.259,0,,
Dominica,0,240044.88,0,,
Dominican Republic,0,58865.52,0,,
Ecuador,0,60539.277,0,,
Egypt,14,4582.0547,0,,
El Salvador,0,32159.209,0,,
Equatorial Guinea,49,9497.935,0,,
Eritrea,28,2988.4568,0,,
Estonia,0,454647.53,0,,
Eswatini,64,61821.89,0,,
Ethiopia,9291,3997.9731,26718,,
Fiji,,75097.78,0,,
Finland,0,269282.0,0,,
France,15,606932.75,0,,
Gabon,1293,20181.82,0,,
Gambia,58,4789.353,0,,
Georgia,,491301.62,0,,
Germany,,457124.16,0,,
Ghana,395,5198.7456,2244,,
Greece,0,552721.0,0,,
Grenada,0,168419.88,0,,
Guatemala,0,70058.414,0,,
Guinea,417,2745.0461,0,,
Guinea-Bissau,213,4566.056,0,,
Guyana,0,90666.67,0,,
Haiti,0,3022.444,10556,,
Honduras,,45194.61,0,,
Hungary,0,231041.86,0,,
Iceland,0,554066.06,0,,
India,40967,31600.842,10615,,
Indonesia,7704,24495.588,0,,
Iran (Islamic Republic of),230,0.0,0,,
Iraq,12,55945.402,571,,
Ireland,2,342905.97,0,,
Israel,,531855.56,0,,
Italy,15,452192.16,0,,
Jamaica,0,55421.496,0,,
Japan,,270433.8,0,,
Jordan,457,155202.16,0,,
Kazakhstan,4,75088.555,0,,
Kenya,1774,6343.0493,613,,
Kiribati,,38971.19,0,,
Kuwait,7,145394.48,0,,
Kyrgyzstan,,12788.335,0,,
Lao People's Democratic Republic,0,0.0,0,,
Latvia,0,519795.25,0,,
Lebanon,,215842.16,1,,
Lesotho,3,15807.624,0,,
Liberia,8300,1476.189,0,,
Libya,32,70221.87,0,,
Lithuania,0,504048.38,0,,
Luxembourg,0,607522.25,0,,
Madagascar,80,2253.9478,0,,
Malawi,29,4335.124,386,,
Malaysia,209,153617.53,0,,
Maldives,0,356207.4,0,,
Mali,765,1438.197,0,,
Malta,0,234001.14,0,,
Marshall Islands,,406469.78,0,,
Mauritania,96,13101.856,0,,
Mauritius,0,259153.03,0,,
Mexico,0,59266.996,0,,
Micronesia (Federated States of),1,0.0,0,,
Monaco,,441115.3,0,,
Mongolia,46,298725.5,0,,
Montenegro,0,408818.03,0,,
Morocco,,34265.92,0,,
Mozambique,1047,7162.215,8299,,
Myanmar,10,11965.763,7498,,
Namibia,31,59714.82,0,,
Nauru,,456221.97,0,,
Nepal,130,33768.65,95,,
Netherlands (Kingdom of the),6,0.0,0,,
New Zealand,0,519206.1,0,,
Nicaragua,0,2406.7473,0,,
Niger,12898,376.4621,1064,,
Nigeria,23983,1197.3512,19178,,
Niue,0,592190.9,0,,
North Macedonia,0,191312.42,0,,
Norway,1,280834.44,0,,
"occupied Palestinian territory, including east Jerusalem",,0.0,0,,
Oman,5,84446.055,0,,
Pakistan,8378,6485.9526,72832,,
Palau,0,358299.6,0,,
Panama,,237473.33,0,,
Papua New Guinea,2,4593.0796,0,,
Paraguay,1,108832.664,0,,
Peru,0,135284.52,0,,
Philippines,589,36330.51,0,,
Poland,,176370.45,0,,
Portugal,0,544367.5,0,,
Qatar,1,177884.27,0,,
Republic of Korea,,0.0,0,,
Republic of Moldova,,0.0,0,,
Romania,17,186142.16,0,,
Russian Federation,102,0.0,0,,
Rwanda,29,9762.343,0,,
Saint Kitts and Nevis,0,141383.66,0,,
Saint Lucia,0,169082.86,0,,
Saint Vincent and the Grenadines,,94785.52,0,,
Samoa,0,79235.75,0,,
San Marino,0,741418.25,0,,
Sao Tome and Principe,,29918.74,0,,
Saudi Arabia,247,26152.596,0,,
Senegal,508,5060.308,0,,
Serbia,0,378129.8,0,,
Seychelles,0,413432.44,0,,
Sierra Leone,731,964.7439,0,,
Singapore,,532073.56,0,,
Slovakia,0,344523.7,0,,
Slovenia,0,644066.1,0,,
Solomon Islands,,33228.562,0,,
Somalia,17361,1535.4547,20159,,
South Africa,400,65293.0,11,,
South Sudan,3608,1711.342,697,,
Spain,1,292302.16,0,,
Sri Lanka,0,29464.115,0,,
Sudan,,1295.8418,38903,,
Suriname,0,132396.62,0,,
Sweden,5,264299.22,0,,
Switzerland,1,509070.44,0,,
Syrian Arab Republic,217,0.0,10563,,
Turkiye,103,0.0,0,,
Tajikistan,454,1746.7688,0,,
Thailand,64,67030.49,5,,
Timor-Leste,8,0.0,0,,
Togo,722,4349.6284,167,,
Tonga,,161746.92,0,,
Trinidad and Tobago,,128012.02,0,,
Tunisia,11,95167.016,0,,
Turkmenistan,0,0.0,0,,
Tuvalu,,293947.25,0,,
Uganda,,3638.789,96,,
Ukraine,11,135003.81,0,,
United Arab Emirates,98,104180.94,0,,
United Kingdom of Great Britain and Northern Ireland,63,0.0,0,,
United Republic of Tanzania,612,0.0,10061,,
United States of America,,0.0,0,,
Uruguay,0,307457.6,0,,
Uzbekistan,7,5011.083,0,,
Vanuatu,0,38391.758,0,,
Venezuela (Bolivarian Republic of),,0.0,0,,
Viet Nam,23,0.0,0,,
Yemen,23941,312.50916,245776,,
Zambia,1755,17361.84,20219,,
Zimbabwe,5532.0,16578.566,20135,,